layer,kwargs,model,width,depth,lr,bs,max_epochs,wdecay,init_scale,dropout,measurement_id,dataset,lr_decay,early_stop,max_bs,nr_runs,done,nr_parameters,best_train,best_test,epoch_of_best_train,epoch_of_best_test
dense,NamedTuple(),mlp,178,0,0.0005,100000,500,0.0,1.0,0.0,35,simple,true,false,50000,1,true,1250,0.6470000147819519,0.6649999618530273,85,184
dense,NamedTuple(),mlp,178,0,0.0003,100000,500,0.0,1.0,0.0,36,simple,true,false,50000,1,true,1250,0.6420000195503235,0.675000011920929,207,155
dense,NamedTuple(),mlp,194,0,0.0008,100000,500,0.0,1.0,0.0,37,simple,true,false,50000,1,true,1362,0.7120000123977661,0.737500011920929,369,402
dense,NamedTuple(),mlp,194,0,0.0005,100000,500,0.0,1.0,0.0,38,simple,true,false,50000,1,true,1362,0.6240000128746033,0.6349999904632568,83,23
dense,NamedTuple(),mlp,194,0,0.0003,100000,500,0.0,1.0,0.0,39,simple,true,false,50000,1,true,1362,0.6510000228881836,0.6699999570846558,198,114
dense,NamedTuple(),mlp,210,0,0.0008,100000,500,0.0,1.0,0.0,40,simple,true,false,50000,1,true,1474,0.7380000352859497,0.7574999928474426,381,378
dense,NamedTuple(),mlp,210,0,0.0005,100000,500,0.0,1.0,0.0,41,simple,true,false,50000,1,true,1474,0.625,0.6499999761581421,198,183
dense,NamedTuple(),mlp,210,0,0.0003,100000,500,0.0,1.0,0.0,42,simple,true,false,50000,1,true,1474,0.6540000438690186,0.6624999642372131,199,149
dense,NamedTuple(),mlp,226,0,0.0008,100000,500,0.0,1.0,0.0,43,simple,true,false,50000,1,true,1586,0.7210000157356262,0.7475000023841858,392,382
dense,NamedTuple(),mlp,226,0,0.0005,100000,500,0.0,1.0,0.0,44,simple,true,false,50000,1,true,1586,0.6360000371932983,0.6649999618530273,54,105
dense,NamedTuple(),mlp,226,0,0.0003,100000,500,0.0,1.0,0.0,45,simple,true,false,50000,1,true,1586,0.6190000176429749,0.6549999713897705,118,102
dense,NamedTuple(),mlp,242,0,0.0008,100000,500,0.0,1.0,0.0,46,simple,true,false,50000,1,true,1698,0.7280000448226929,0.7574999928474426,356,355
dense,NamedTuple(),mlp,242,0,0.0005,100000,500,0.0,1.0,0.0,47,simple,true,false,50000,1,true,1698,0.625,0.6474999785423279,176,80
dense,NamedTuple(),mlp,242,0,0.0003,100000,500,0.0,1.0,0.0,48,simple,true,false,50000,1,true,1698,0.6350000500679016,0.675000011920929,103,72
dense,NamedTuple(),mlp,258,0,0.0008,100000,500,0.0,1.0,0.0,49,simple,true,false,50000,1,true,1810,0.7430000305175781,0.7549999952316284,369,442
dense,NamedTuple(),mlp,258,0,0.0005,100000,500,0.0,1.0,0.0,50,simple,true,false,50000,1,true,1810,0.6410000324249268,0.6825000047683716,200,203
dense,NamedTuple(),mlp,258,0,0.0003,100000,500,0.0,1.0,0.0,51,simple,true,false,50000,1,true,1810,0.6550000309944153,0.6775000095367432,112,67
dense,NamedTuple(),mlp,274,0,0.0008,100000,500,0.0,1.0,0.0,52,simple,true,false,50000,1,true,1922,0.7590000629425049,0.762499988079071,328,406
